Année : ;2013;;;
Critere :;Effectif;;;
Secteur : ;Industrie manufacturiere, industries extractives et autres;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);72715578;35599814;265852351;666772840
Nombre d'entreprises (sans unite);230638;13666;16906;1601
Effectif salarie en equivalent temps plein (sans unite);292500;190844;1002247;1487430
;;;;
Année : ;2012;;;
Critere :;Effectif;;;
Secteur : ;Industrie manufacturiere, industries extractives et autres;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);73630923;36485190;273634497;676688586
Nombre d'entreprises (sans unite);218599;14043;17382;1609
Effectif salarie en equivalent temps plein (sans unite);293030;193769;1025036;1498761
;;;;
Année : ;2011;;;
Critere :;Effectif;;;
Secteur : ;Industrie manufacturiere, industries extractives et autres;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);72905778;35641987;281231550;666833416
Nombre d'entreprises (sans unite);203392;13653;18452;1733
Effectif salarie en equivalent temps plein (sans unite);304175;176935;1016502;1501215
;;;;
Année : ;2010;;;
Critere :;Effectif;;;
Secteur : ;Industrie manufacturiere, industries extractives et autres;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);80475541;33973755;259994908;627015284
Nombre d'entreprises (sans unite);207807;13555;17545;1650
Effectif salarie en equivalent temps plein (sans unite);318839;182932;1021197;1516259
